page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
 186    76 image     233   270  gray    1   8  jpeg   no       763  0   150   150 5196B 8.3%
 186    77 image     233   270  gray    1   8  jpeg   no       764  0   150   150 5758B 9.2%
 186    78 image     233   270  gray    1   8  jpeg   no       765  0   150   150 4478B 7.1%
 186    79 image     233   270  gray    1   8  jpeg   no       766  0   150   150 6700B  11%
 186    80 image     233   270  gray    1   8  jpeg   no       767  0   150   150 8677B  14%
 188    81 image     160    70  gray    1   8  jpeg   no       773  0   150   152 1623B  14%
 188    82 image     160    70  gray    1   8  jpeg   no       774  0   150   152 1579B  14%
 188    83 image     160    70  gray    1   8  jpeg   no       775  0   150   152 1714B  15%
 188    84 image     160    70  gray    1   8  jpeg   no       776  0   150   152 1705B  15%
 188    85 image     160    70  gray    1   8  jpeg   no       777  0   150   152 1919B  17%
 191    86 image     339   340  gray    1   8  jpeg   no       786  0   150   150 4801B 4.2%
 191    87 image     339   340  gray    1   8  jpeg   no       787  0   150   150 9.97K 8.9%
 193    88 image     342   550  gray    1   8  jpeg   no       794  0   150   150 12.1K 6.6%
 193    89 image     342   550  gray    1   8  jpeg   no       795  0   150   150 16.1K 8.8%
 193    90 image     342   550  gray    1   8  jpeg   no       796  0   150   150 25.9K  14%
 193    91 image     342   550  gray    1   8  jpeg   no       797  0   150   150 23.4K  13%
 194    92 image     342   550  gray    1   8  jpeg   no       801  0   150   150 17.7K 9.6%
 194    93 image     342   550  gray    1   8  jpeg   no       802  0   150   150 24.5K  13%
 194    94 image     342   550  gray    1   8  jpeg   no       803  0   150   150 15.2K 8.3%
 194    95 image     342   550  gray    1   8  jpeg   no       804  0   150   150 10.3K 5.6%
 211    96 image     245   300  gray    1   8  jpeg   no       851  0   150   150 4813B 6.5%
 211    97 image     245   300  gray    1   8  jpeg   no       852  0   150   150 20.5K  29%
 211    98 image     245   300  gray    1   8  jpeg   no       853  0   150   150 8967B  12%
 214    99 image     276   291  gray    1   8  jpeg   no       863  0   150   150 11.0K  14%
 214   100 image     276   291  gray    1   8  jpeg   no       864  0   150   150 4359B 5.4%
 214   101 image     276   291  gray    1   8  jpeg   no       865  0   150   150 5805B 7.2%
